test_id,test_type,input_text,expected_output,actual_output,success,response_time,similarity_score,error_message
rag_001,rag,What are the requirements for opening a savings account?,savings_accounts.yaml,config.yaml,False,1.1416881084442139,,
rag_002,rag,How can I apply for a credit card?,credit_cards.yaml,config.yaml,False,0.5490899085998535,,
rag_003,rag,What loans do you offer for small businesses?,loans.yaml,config.yaml,False,0.4776425361633301,,
rag_004,rag,How do I send money to Philippines through remittance?,remittances_ofw.yaml,config.yaml,False,0.7574450969696045,,
rag_005,rag,Can you help me with online banking setup?,digital_banking.yaml,config.yaml,False,0.6853387355804443,,
trans_001,translation,Paano mag-open ng savings account?,How to open a savings account?,Paano mag-open ng savings account?,False,0.26941394805908203,0.4,
trans_002,translation,Pwede ba mag-apply ng credit card online?,Can I apply for a credit card online?,Pwede ba mag-apply ng credit card online?,False,0.2596561908721924,0.42857142857142855,
trans_003,translation,Ano ang requirements para sa personal loan?,What are the requirements for a personal loan?,Ano ang requirements para sa personal loan?,False,0.30626845359802246,0.42857142857142855,
trans_004,translation,May online banking ba kayo?,Do you have online banking?,May online banking ba kayo?,False,0.31321191787719727,0.4,
class_001,classification,"Hello, how are you today?","Template: config.yaml, Category: general","Template: config.yaml, Category: general",True,0.218123197555542,,
class_002,classification,I want to know about your branch locations,"Template: general_banking.yaml, Category: banking","Template: config.yaml, Category: general",False,0.21035027503967285,,
class_003,classification,What's the interest rate for time deposits?,"Template: savings_accounts.yaml, Category: savings","Template: config.yaml, Category: general",False,0.2865583896636963,,
e2e_001,end_to_end,Magkano ang minimum balance sa savings account?,savings_accounts.yaml,config.yaml,False,0.7314751148223877,,
e2e_002,end_to_end,Paano mag-transfer ng pera sa ibang bansa?,remittances_ofw.yaml,config.yaml,False,0.66094970703125,,
