test_id,test_type,input_text,expected_output,actual_output,success,response_time,similarity_score,error_message
rag_001,rag,What are the requirements for opening a savings account?,savings_accounts.yaml,savings_accounts.yaml,True,15.936443090438843,,
rag_002,rag,How can I apply for a credit card?,credit_cards.yaml,credit_cards.yaml,True,14.480945110321045,,
rag_003,rag,What loans do you offer for small businesses?,loans.yaml,loans.yaml,True,45.6168475151062,,
rag_004,rag,How do I send money to Philippines through remittance?,remittances_ofw.yaml,remittances_ofw.yaml,True,37.40932250022888,,
rag_005,rag,Can you help me with online banking setup?,digital_banking.yaml,digital_banking.yaml,True,43.17692470550537,,
trans_001,translation,Paano mag-open ng savings account?,How to open a savings account?,How do I open a savings account?,True,0.4080650806427002,0.6666666666666666,
trans_002,translation,Pwede ba mag-apply ng credit card online?,Can I apply for a credit card online?,Can I apply for a credit card online?,True,0.7354393005371094,1.0,
trans_003,translation,Ano ang requirements para sa personal loan?,What are the requirements for a personal loan?,What are the requirements for a personal loan?,True,0.2704482078552246,1.0,
trans_004,translation,May online banking ba kayo?,Do you have online banking?,Do you have online banking?,True,0.3877449035644531,1.0,
class_001,classification,"Hello, how are you today?","Template: config.yaml, Category: general","Template: config.yaml, Category: config",True,1.2944869995117188,,
class_002,classification,I want to know about your branch locations,"Template: general_banking.yaml, Category: banking","Template: general_banking.yaml, Category: general_banking",True,0.45273423194885254,,
class_003,classification,What's the interest rate for time deposits?,"Template: savings_accounts.yaml, Category: savings","Template: savings_accounts.yaml, Category: time deposits",False,1.0311646461486816,,
e2e_001,end_to_end,Magkano ang minimum balance sa savings account?,savings_accounts.yaml,savings_accounts.yaml,True,39.22690534591675,,
e2e_002,end_to_end,Paano mag-transfer ng pera sa ibang bansa?,remittances_ofw.yaml,remittances_ofw.yaml,True,43.3714017868042,,
